id;dren;cisco;commune;zap;fokontany;code;name;is_privee;is_eec;is_presco;is_primaire;is_college;is_lycee;is_rurale;village
7086;12;115;11504;11505;1150409;115040001;CEG FIRAVAHANA;0;0;0;0;1;0;1;1150409@VILLAGE V
7087;12;115;11510;11506;1151001;115040002;ECOLE COMMUNAUTAIRE AMBARIALOHA;0;0;1;1;0;0;1;1151001@AMBARIALOHA
7088;12;115;11504;11505;1150408;115040003;ECOLE COMMUNAUTAIRE AMBIKA;0;0;1;1;0;0;1;1150408@AMBIKA
7089;12;115;11510;11506;1151001;115040004;ECOLE COMMUNAUTAIRE ANDRANOVELONA;0;0;1;1;0;0;1;1151001@ANDRANOVELONA
7090;12;115;11504;11506;1150414;115040005;ECOLE COMMUNAUTAIRE ANKIDONA;0;0;0;1;0;0;1;1150414@ANKIDONA
7091;12;115;11510;11506;1151001;115040007;ECOLE COMMUNAUTAIRE FILAMBOLA;0;0;1;1;0;0;1;1151001@FILAMBOLA
7092;12;115;11510;11506;1151001;115040008;ECOLE COMMUNAUTAIRE MAHAZOARIVO;0;0;0;1;0;0;1;1151001@MAHAZOARIVO
7093;12;115;11504;11505;1150422;115040009;ECOLE COMMUNAUTAIRE MIADAPAHAONINA;0;0;0;1;0;0;1;1150422@MIADAPAHONINA
7094;12;115;11504;11505;1150420;115040010;ECOLE COMMUNAUTAIRE MIAKOTSO;0;0;0;1;0;0;1;1150420@MIAKOTSO
7095;12;115;11504;11505;1150418;115040011;ECOLE COMMUNAUTAIRE SOARANO;0;0;1;1;0;0;1;1150418@SOARANO
7096;12;115;11504;11505;1150422;115040012;ECOLE COMMUNAUTAIRE TSIAFAKARIVO;0;0;0;1;0;0;1;1150422@TSIAFAKARIVO
7097;12;115;11504;11505;1150407;115040013;ECOLE COMMUNAUTAIRE TSINJORANO;0;0;0;1;0;0;1;1150407@TSINJORANO
7098;12;115;11504;11505;1150401;115040014;EPP AMBOHIBARY EST;0;0;1;1;0;0;1;1150401@AMBOHIBARY EST
7099;12;115;11504;11505;1150402;115040015;EPP AMBOHIKAMBANA;0;0;1;1;0;0;1;1150402@AMBOHIKAMBANA
7100;12;115;11504;11505;1150403;115040016;EPP AMBOHIMARINA SAMBATRA;0;0;1;1;0;0;1;1150403@AMBOHIMARINA
7101;12;115;11510;11506;1151001;115040017;EPP AMBOHIMIRARY;0;0;1;1;0;0;1;1151001@AMBOHIMIRARY
7102;12;115;11504;11505;1150404;115040018;EPP AMBOHIPIHAONANA;0;0;0;1;0;0;1;1150404@AMBOHIMPIHAONANA
7103;12;115;11504;11506;1150421;115040019;EPP ANTAMBOHO;0;0;1;1;0;0;1;1150421@TSARAMANDROSO
7104;12;115;11504;11506;1150406;115040020;EPP ANTOBY;0;0;0;1;0;0;1;1150406@ANTOBY
7105;12;115;11504;11505;1150407;115040021;EPP BEMAHATAZANA;0;0;1;1;0;0;1;1150407@BEMAHATAZANA
7106;12;115;11504;11505;1150408;115040022;EPP BEMASOANDRO;0;0;0;1;0;0;1;1150408@BEMASOANDRO
7107;12;115;11504;11505;1150409;115040023;EPP FIRAVAHANA;0;0;1;1;0;0;1;1150409@FIRAVAHANA
7108;12;115;11504;11506;1150411;115040024;EPP MAHATSINJO;0;0;1;1;0;0;1;1150411@MAHATSINJO
7109;12;115;11504;11505;1150412;115040025;EPP MANATIAHITRA;0;0;0;1;0;0;1;1150412@MANATIAHITRA
7110;12;115;11504;11505;1150413;115040026;EPP MANDROSOA;0;0;0;1;0;0;1;1150413@MANDROSOA
7111;12;115;11510;11506;1151001;115040027;EPP MANGATANY;0;0;1;1;0;0;1;1151001@MANGATANY
7112;12;115;11510;11506;1151002;115040028;EPP MAROHOVA;0;0;0;1;0;0;1;1151002@MAROHOVA
7113;12;115;11504;11506;1150411;115040029;EPP MIADANARIVO;0;0;1;1;0;0;1;1150411@MIADANARIVO
7114;12;115;11504;11506;1150414;115040030;EPP MIANDRARIVO I;0;0;1;1;0;0;1;1150414@MIANDRARIVO I
7115;12;115;11504;11505;1150415;115040031;EPP MIANDRARIVO II;0;0;0;1;0;0;1;1150415@AMBOHITROMBY
7116;12;115;11504;11505;1150416;115040032;EPP MORAFENO I;0;0;1;1;0;0;1;1150416@MORAFENO I
7117;12;115;11510;11506;1151001;115040033;EPP SOALOKA;0;0;0;1;0;0;1;1151001@SOALOKA
7118;12;115;11504;11505;1150419;115040034;EPP TAFAINA;0;0;1;1;0;0;1;1150419@TAFAINA
7119;12;115;11504;11505;1150420;115040035;EPP TSARAHONENANA;0;0;0;1;0;0;1;1150420@TSARAHONENANANA
7120;12;115;11504;11505;1150423;115040036;EPP TSIANOVANA;0;0;1;1;0;0;1;1150423@TSIANOVANA
7121;12;115;11504;11505;1150424;115040037;EPP TSIMATAHODAZA;0;0;0;1;0;0;1;1150424@TSIMATAHODAZA
7122;12;115;11504;11506;1150414;115040038;ECOLE COMMUNAUTAIRE AMBOHIMAHASOA;0;0;0;1;0;0;1;1150414@AMBOHIMAHASOA
7123;12;115;11504;11506;1150402;115040039;ECOLE COMMUNAUTAIRE MORAFENO II;0;0;0;1;0;0;1;1150402@MORAFENO II
7124;12;115;11504;11506;1150411;115040040;ECOLE COMMUNAUTAIRE ANTANAMBAO MAHATSINJO;0;0;0;1;0;0;1;1150411@ANTANAMBAO
7125;12;115;11504;11505;1150407;115040041;CEG BEMAHATAZANA;0;0;0;0;1;0;1;1150407@BEMAHATAZANA
7126;12;115;11510;11506;1151001;115040042;CEG AMBOHIMIRARY;0;0;0;0;1;0;1;1151001@AMBOHIMIRARY
7127;12;115;11504;11506;1150410;115040044;ECOLE COMMUNAUTAIRE ANOSIBE MAHAIMANDRY;0;0;0;1;0;0;1;1150410@MAHAIMANDRY
7128;12;115;11510;11506;1151002;115040045;ECOLE COMMUNAUTAIRE AMBOHIJAFY;0;0;0;1;0;0;1;1151002@AMBOHIJAFY
7129;12;115;11510;11505;1151001;115040046;ECOLE COMMUNAUTAIRE MAHAIMANDRY MIADAPAHAONINA;0;0;0;1;0;0;1;1151001@MAHAIMANDRY
7130;12;115;11510;11506;1151001;115040048;EPP MAHAIMANDRY;0;0;1;1;0;0;1;1151001@MAHAIMANDRY
7131;12;115;11510;11506;1151001;115040049;CEG MANGATANY;0;0;0;0;1;0;1;1151001@MANGATANY
7132;12;115;11504;11506;1150414;115040050;CEG MIANDRARIVO I;0;0;0;0;1;0;1;1150414@MIANDRARIVO
7133;12;115;11504;11505;1150402;115040051;CEG AMBOHIKAMBANA;0;0;0;0;1;0;1;1150402@AMBOHIKAMBANA
7134;12;115;11504;11505;1150409;115040052;LYCEE COMMUNAUTAIRE FIRAVAHANA;0;0;0;0;0;1;1;1150409@FIRAVAHANA
7135;12;115;11504;11506;1150402;115040053;ECOLE COMMUNAUTAIRE MORARANO;0;0;0;1;0;0;1;1150402@MORARANO
7136;12;115;11504;11505;1150416;115040054;CEG COMMUNAUTAIRE MORAFENO I;0;0;0;0;1;0;1;1150416@MORAFENO I
7137;12;115;11504;11505;1150419;115040055;CEG COMMUNAUTAIRE TAFAINA;0;0;0;0;1;0;1;1150419@TAFAINA
7138;12;115;11504;11506;1150410;115040056;CEG COMMUNAUTAIRE MAHAIMANDRY;0;0;0;0;1;0;1;1150410@MAHAIMANDRY
7139;12;115;11504;11505;1150419;115040057;ECOLE COMMUNAUTAIRE AMBOHIBARY;0;0;0;1;0;0;1;1150419@AMBOHIBARY
7140;12;115;11504;11505;1150404;115040058;ECOLE COMMUNAUTAIRE FIADANANA;0;0;0;1;0;0;1;1150404@FIADANANA
7141;12;115;11504;11505;1150423;115040059;CEG COMMUNAUTAIRE TSIANOVANA;0;0;0;0;1;0;1;1150423@TSIANOVANA
7142;12;115;11504;11505;1150404;115040060;ECOLE COMMUNAUTAIRE IHASY;0;0;0;1;0;0;1;1150404@IHASY
7143;12;115;11504;11505;1150420;115040061;ECOLE COMMUNAUTAIRE TSIMITOVY;0;0;0;1;0;0;1;1150420@TSIMITOVY
7144;12;115;11504;11506;1150417;115040063;ECOLE COMMUNAUTAIRE ANTANETIBE SUD;0;0;0;1;0;0;1;1150417@ANTANETIBE SUD
7145;12;115;11504;11506;1150421;115040065;CEG ANTAMBOHO;0;0;0;0;1;0;1;1150421@TSARAMASOANDRO
7146;12;115;11504;11505;1150409;115041001;LYCEE PRIVE CATHOLIQUE SAINT MICHEL FIRAVAHANA;1;0;1;1;1;1;1;1150409@FIRAVAHANA
7147;12;115;11504;11505;1150409;115041002;LYCEE PRIVE FJKM MOFONAINA SY FAHASOAVANA FIRAVAHANA;1;0;1;1;1;1;1;1150409@FIRAVAHANA
